pH |||||EC ||||
Method |R2 |ME |MAE |RMSE |Method |R2 |ME |MAE |RMSE 
OK |0.416|0.065|0.748|0.957|OK |0.163|0.392|7.687|11.527
RK |0.464|0.05|0.736|0.917|RK |0.2|0.442|7.542|11.241
GWR |0.463|0.015|0.728|0.916|GWR |0.178|-0.251|9.055|13.326
GWR-OK |0.461|0.033|0.708|0.917|GWR-OK |0.241|-19.916|21.369|24.738
EML |0.466|0.43|0.79|1.01|EML |0.234|-0.074|7.759|11.106
OC |||||CaCO3 ||||
Method |R2 |ME |MAE |RMSE |Method |R2 |ME |MAE |RMSE 
OK |0.354|-2.132|7.631|10.682|OK |0.301|0.354|13.016|21.9
RK |0.439|-2.003|7.17|9.822|RK |0.337|0.539|12.772|21.366
GWR |0.29|-3.029|9.121|17.549|GWR |0.338|-0.09|12.993|23.107
GWR-OK |0.274|-2.703|9.201|17.903|GWR-OK |0.323|0.06|13.034|23.699
EML |0.358|-0.771|7.276|10.087|EML |0.319|0.5|13.276|21.894
P |||||N ||||
Method |R2 |ME |MAE |RMSE |Method |R2 |ME |MAE |RMSE 
OK |0.005|-0.527|12.411|19.628|OK |0.239|-0.108|0.678|0.905
RK |0.043|-0.829|12.465|18.845|RK |0.285|-0.094|0.648|0.874
GWR |0.007|-2.572|15.78|28.837|GWR |0.238|-0.19|0.745|1.089
GWR-OK |0.006|-2.299|15.832|29.252|GWR-OK |0.227|-0.189|0.772|1.123
EML |0.021|-0.509|12.11|19.038|EML |0.245|0.009|0.64|0.873
K |||||Clay ||||
Method |R2 |ME |MAE |RMSE |Method |R2 |ME |MAE |RMSE 
OK |0.098|-1.904|116.772|207.694|OK |0.108|0.802|15.463|18.779
RK |0.116|-2.04|114.612|205.588|RK |0.086|0.868|15.472|19.104
GWR |0.029|-30.67|143.977|255.157|GWR |0.075|0.552|15.594|20.598
GWR-OK |0.028|-28.458|144.221|256.186|GWR-OK |0.073|0.555|15.702|20.725
EML |0.15|-0.444|111.143|203.697|EML |0.111|0.821|15.15|18.755
Silt |||||Sand ||||
Method |R2 |ME |MAE |RMSE |Method |R2 |ME |MAE |RMSE 
OK |0.191|-0.107|12.669|16.974|OK |0.301|-0.779|12.72|16.629
RK |0.194|-0.119|12.61|16.946|RK |0.319|-0.901|12.431|16.404
GWR |0.163|-0.376|13.48|18.158|GWR |0.183|-0.246|13.842|18.926
GWR-OK |0.16|-0.202|13.526|18.26|GWR-OK |0.19|-0.427|13.79|18.922
EML |0.191|0.014|12.25|16.994|EML |0.332|-0.697|12.296|16.24
